dataset,dim,impl,H,W,D,num_data_points,stride,dilation,padding,kernel_size,kernel_cycles,main_loop_snitch_occupancy,fpss_fpu_occupancy,total_ipc,icache_miss,tcdm_congestion,time_spent_waiting_in_barrier,optimal_fmax,comments
1,2D,Multicore Optimized,4,4,1,16,2x2,1,0,3x3,683.75,0.22976430363585326,0.019025069727809506,0.2517163071679411,194,174,113,64,3x3 kernel
1,2D,Multicore Optimized,4,8,1,32,2x2,1,0,3x3,707.125,0.23375363575718816,0.04533403844987892,0.2833377403117432,262,177,129,192,3x3 kernel
1,2D,Multicore Optimized,8,8,1,64,2x2,1,0,3x3,780.5,0.21969443109591374,0.1181981734551115,0.34174689281586584,255,222,168,576,3x3 kernel
1,2D,Multicore Optimized,8,16,1,128,2x2,1,0,3x3,997.125,0.18369406762928656,0.21280405648857237,0.39950950227571613,253,363,248,1344,3x3 kernel
1,2D,Multicore Optimized,16,16,1,256,2x2,1,0,3x3,1427.5,0.14793666740074085,0.34495185005291235,0.49499188239300024,203,528,398.375,3136,3x3 kernel
1,2D,Multicore Optimized,16,32,1,512,2x2,1,0,3x3,2428.125,0.10997859715859483,0.43332391090202904,0.5445382226354395,200,1455,718.375,6720,3x3 kernel
1,2D,Multicore Optimized,32,32,1,1024,2x2,1,0,3x3,4405.75,0.08784456106905791,0.5111781693217531,0.5997036959804936,200,2452,1373.375,14400,3x3 kernel
1,2D,Multicore Optimized,32,64,1,2048,2x2,1,0,3x3,9388.625,0.16349360473400049,0.4962113618851602,0.662261265604374,1572,5611,25,29760,3x3 kernel
1,2D,Multicore Optimized,64,64,1,4096,2x2,1,0,3x3,15741.75,0.15062025081137773,0.611057330986928,0.7632022063282216,1971,12449,25,61504,3x3 kernel
2,2D,Multicore Optimized,8,8,1,64,8x8,1,0,8x8,620.375,0.24349857438784073,0.10965498714154419,0.35637870821001855,99,108,163.375,504,8x8 kernel
2,2D,Multicore Optimized,8,16,1,128,8x8,1,0,8x8,770.375,0.20553682712118765,0.17171431126580233,0.38115373637030375,91,71,220.375,1008,8x8 kernel
2,2D,Multicore Optimized,16,16,1,256,8x8,1,0,8x8,1001.75,0.15981463608359187,0.26169646658688167,0.42450762709704093,49,76,355.375,2016,8x8 kernel
2,2D,Multicore Optimized,16,32,1,512,8x8,1,0,8x8,1539.625,0.10655582395547143,0.3391593908826591,0.4476644067397551,49,130,625.375,4032,8x8 kernel
2,2D,Multicore Optimized,32,32,1,1024,8x8,1,0,8x8,2601.625,0.06612043221873919,0.40056680448794313,0.4678405000593347,49,169,1175.375,8064,8x8 kernel
2,2D,Multicore Optimized,32,64,1,2048,8x8,1,0,8x8,4405,0.12009464125879918,0.4732013014798745,0.5953391164306051,161,2808,25,16128,8x8 kernel
2,2D,Multicore Optimized,64,64,1,4096,8x8,1,0,8x8,7965.5,0.15982161978098705,0.5234063887407188,0.6862411419661236,340,6432,25,32256,8x8 kernel
5,2D,Multicore Optimized,8,8,1,64,1x1,1,0,8x8,725.125,0.21681205372541595,0.09390585766451134,0.31347984838006,160,203,156.75,504,8x8 kernel
5,2D,Multicore Optimized,8,16,1,128,1x1,1,0,8x8,1287.375,0.13291840314736897,0.45627545407898,0.5915257590359518,154,141,226.75,4536,8x8 kernel
5,2D,Multicore Optimized,16,16,1,256,1x1,1,0,8x8,6130.375,0.03963988908042212,0.8591905176402604,0.8993197880673545,115,399,436.75,40824,8x8 kernel
5,2D,Multicore Optimized,16,32,1,512,1x1,1,0,8x8,16101.375,0.02403532058983367,0.9084357474612329,0.9326573883657164,132,3977,841.75,113400,8x8 kernel
5,2D,Multicore Optimized,32,32,1,1024,1x1,1,0,8x8,43616,0.018043843934803804,0.9314704543065746,0.9495830803656534,102,10302,1781.75,315000,8x8 kernel
3,1D,Multicore Optimized,64,1,1,64,64,1,0,64,644,0.21950582651059716,0.10586096597674188,0.3284803503101844,162,120,161.875,504,
3,1D,Multicore Optimized,128,1,1,128,64,1,0,64,781.25,0.18961348906387912,0.16911473348940573,0.3625717392234986,132,51,231.875,1008,
3,1D,Multicore Optimized,256,1,1,256,64,1,0,64,1027.5,0.1461177873251509,0.25521906852793025,0.4042592115995841,94,59,366.875,2016,
3,1D,Multicore Optimized,512,1,1,512,64,1,0,64,1575.25,0.10032458379514765,0.3314521059561207,0.43368158691193576,91,80,636.875,4032,
3,1D,Multicore Optimized,1024,1,1,1024,64,1,0,64,2655.5,0.06251645490460811,0.3924225663289256,0.456068836683617,79,91,1181.875,8064,
3,1D,Multicore Optimized,2048,1,1,2048,64,1,0,64,3986.625,0.11764581658434198,0.5227588097265856,0.6426622219383457,292,2592,25,16128,
3,1D,Multicore Optimized,4096,1,1,4096,64,1,0,64,7942.25,0.14895117189662666,0.5249175280110198,0.6768905326426582,474,5234,25,32256,
6,1D,Multicore Optimized,64,1,1,64,1,1,0,64,662,0.21350884499970654,0.10296880468070954,0.319506143935731,162,120,161.875,504,
6,1D,Multicore Optimized,128,1,1,128,1,1,0,64,5450,0.03945112542021725,0.7756317427944123,0.8156333477210472,112,267,291.875,32760,
6,1D,Multicore Optimized,256,1,1,256,1,1,0,64,14042,0.024426874298888995,0.893539755696684,0.9181802759969263,77,707,556.875,97272,
6,1D,Multicore Optimized,512,1,1,512,1,1,0,64,31210,0.019192591776975996,0.9351823136194932,0.9544710285453872,77,1555,1076.875,226296,
6,1D,Multicore Optimized,1024,1,1,1024,1,1,0,64,64960.125,0.021520879780235928,0.9616502528817421,0.9833096792763757,444,4605,25,484344,
4,3D,Multicore Optimized,4,4,4,64,4x4x4,1,0,4x4x4,950.5,0.2203988927202915,0.07170873064583645,0.29421670367924074,133,93,187.375,504,
4,3D,Multicore Optimized,4,4,8,128,4x4x4,1,0,4x4x4,1345.75,0.24624834362753995,0.09969036648087619,0.3489145419436661,81,72,262.375,1008,
4,3D,Multicore Optimized,4,8,8,256,4x4x4,1,0,4x4x4,2272.75,0.2526673807396657,0.1170883328357335,0.373277167194519,60,76,397.375,2016,
4,3D,Multicore Optimized,8,8,8,512,4x4x4,1,0,4x4x4,4199.75,0.2519588591365907,0.12621384949744882,0.38198293805283046,93,133,667.375,4032,
4,3D,Multicore Optimized,8,8,16,1024,4x4x4,1,0,4x4x4,7742.75,0.26167954949715816,0.13664905122408993,0.4024616533102564,174,186,1207.375,8064,
4,3D,Multicore Optimized,8,16,16,2048,4x4x4,1,0,4x4x4,13544.5,0.3031508924377734,0.15622628287787163,0.4641023558941818,416,1201,14,16128,
4,3D,Multicore Optimized,16,16,16,4096,4x4x4,1,0,4x4x4,27936.5,0.29671076195080703,0.15152268831788157,0.4528152844535903,848,2390,14,32256,
7,3D,Multicore Optimized,4,4,4,64,1x1x1,1,0,4x4x4,969.75,0.21600067626121947,0.07027773198929628,0.28834540036784795,90,96,187.375,504,
7,3D,Multicore Optimized,4,4,8,128,1x1x1,1,0,4x4x4,2785.75,0.2502727682693073,0.11921170597619803,0.373075188280933,80,124,262.375,2520,
7,3D,Multicore Optimized,4,8,8,256,1x1x1,1,0,4x4x4,11044.75,0.2825828874270371,0.1495760749854102,0.4366860833260493,198,308,417.375,12600,
7,3D,Multicore Optimized,8,8,8,512,1x1x1,1,0,4x4x4,49834.75,0.30422574120837875,0.16558741616328349,0.4748297417197986,677,853,782.375,63000,
7,3D,Multicore Optimized,8,8,16,1024,1x1x1,1,0,4x4x4,125637.75,0.3123345141671017,0.1707448841240709,0.48825300330145815,2224,1568,1499.375,163800,
