dim,impl,H,W,D,num_data_points,kernel_cycles,main_loop_snitch_occupancy,fpss_fpu_occupancy,total_ipc,icache_miss,tcdm_congestion,time_spent_waiting_in_barrier
1D,Multicore Unoptimized,64,1,1,64,1356.375,0.301642219,0.13796449,0.487530368,39,187,182.375
1D,Multicore Optimized,64,1,1,64,813.125,0.221542228,0.08362891,0.307221542,151,194,202.75
2D,Multicore Optimized,8,8,1,64,861.375,0.234530766,0.078950951,0.315803804,124,300,198.375
3D,Multicore Optimized,4,4,4,64,1096.625,0.224338921,0.062012385,0.288175199,122,235,190.5
1D,Multicore Unoptimized,128,1,1,128,2374.375,0.314665525,0.156727662,0.526145111,39,206,257.375
1D,Multicore Optimized,128,1,1,128,950.625,0.197781371,0.138867771,0.339805228,182,146,259.375
2D,Multicore Optimized,8,16,1,128,1042.375,0.200516483,0.126641989,0.3300367,152,243,266.5
3D,Multicore Optimized,4,4,8,128,1643.625,0.223901034,0.08152943,0.307864179,127,216,265.5
1D,Multicore Unoptimized,256,1,1,256,4397.375,0.323830149,0.168964767,0.551921311,36,205,392.375
1D,Multicore Optimized,256,1,1,256,1215.625,0.156306309,0.215538173,0.374312476,183,150,394.375
2D,Multicore Optimized,16,16,1,256,1298.375,0.162517526,0.201799013,0.366627215,127,189,401.5
3D,Multicore Optimized,4,8,8,256,2594.625,0.235488486,0.102520804,0.341092622,132,242,400.5
1D,Multicore Unoptimized,512,1,1,512,8414.375,0.330104523,0.176438949,0.568342537,35,218,662.375
1D,Multicore Optimized,512,1,1,512,1729.625,0.112744096,0.301807274,0.416285895,164,149,664.375
2D,Multicore Optimized,16,32,1,512,1838.375,0.116953513,0.28395225,0.402537672,130,261,671.5
3D,Multicore Optimized,8,8,8,512,4437.625,0.246754052,0.119433723,0.369793321,155,275,670.5
1D,Multicore Unoptimized,1024,1,1,1024,16284.375,0.336618598,0.182053262,0.582536778,35,219,1207.375
1D,Multicore Optimized,1024,1,1,1024,2838.375,0.071520411,0.367114623,0.439691986,169,169,1213.25
2D,Multicore Optimized,32,32,1,1024,2919.25,0.076390313,0.356944872,0.434362858,126,362,1202.375
3D,Multicore Optimized,8,8,16,1024,8171.625,0.252458923,0.129472562,0.385847479,277,298,1215.5
1D,Multicore Unoptimized,2048,1,1,2048,31202.625,0.350523394,0.189992035,0.607176493,1130,633,42.125
1D,Multicore Optimized,2048,1,1,2048,5302.125,0.121083869,0.393051065,0.515832372,1797,863,42.125
2D,Multicore Optimized,32,64,1,2048,5985.625,0.115944498,0.348155365,0.465603468,1676,907,49.125
3D,Multicore Optimized,8,16,16,2048,15729.625,0.271398589,0.134523274,0.40999062,1860,757,48.125
1D,Multicore Unoptimized,4096,1,1,4096,61038.625,0.357417116,0.194274518,0.619845202,1094,1305,42.125
1D,Multicore Optimized,4096,1,1,4096,9015.125,0.151523283,0.462445509,0.616630987,1669,3956,42.125
2D,Multicore Optimized,64,64,1,4096,9615.75,0.155786243,0.433559979,0.59184213,1465,3605,49.125
3D,Multicore Optimized,16,16,16,4096,29314.625,0.288320155,0.144398926,0.437085503,1823,2174,48.125
2D,Multicore Unoptimized,8,8,1,64,1602.625,0.336566204,0.113019568,0.490145443,48,212,193.5
2D,Multicore Unoptimized,8,16,1,128,2785.625,0.353739769,0.128788899,0.529197293,52,192,268.5
2D,Multicore Unoptimized,16,16,1,256,5144.625,0.365406341,0.139587881,0.555532552,54,193,403.5
2D,Multicore Unoptimized,16,32,1,512,9849.625,0.372463618,0.145716295,0.570973843,79,187,673.5
2D,Multicore Unoptimized,32,32,1,1024,19131.625,0.378528969,0.149941487,0.582830722,116,199,1218.5
2D,Multicore Unoptimized,32,64,1,2048,37538.625,0.384284171,0.152799312,0.592493081,2206,274,56.125
2D,Multicore Unoptimized,64,64,1,4096,72550.625,0.396497253,0.158077554,0.611914079,1889,699,56.125
3D,Multicore Unoptimized,4,4,4,64,1931.375,0.45150021,0.03313763,0.519782028,115,287,185.375
3D,Multicore Unoptimized,4,4,8,128,3246.375,0.490704192,0.039120815,0.572757078,121,255,257.375
3D,Multicore Unoptimized,4,8,8,256,5838.375,0.519666115,0.043334064,0.610273655,139,269,390.375
3D,Multicore Unoptimized,8,8,8,512,11001.375,0.537569529,0.045903379,0.633478065,181,299,665.375
3D,Multicore Unoptimized,8,8,16,1024,21277.375,0.548657995,0.04742127,0.647812563,259,312,1210.375
3D,Multicore Unoptimized,8,16,16,2048,41568.125,0.565264449,0.048504232,0.666410084,1881,616,39
3D,Multicore Unoptimized,16,16,16,4096,81273.625,0.578342596,0.049622495,0.682012444,1804,1760,39